,WALS_ID,ISO,Name,Macroarea,Country_ID,Latitude,Longitude,Family,Genus,Lenguaje de Señas,Status
0,aab,aah,Arapesh (Abu),,PG,-3.45,142.95,Torricelli,Kombio-Arapesh,0,L
1,aar,aiw,Aari,Africa,ET,6.0,36.5833333333,Afro-Asiatic,South Omotic,0,L
2,aba,aau,Abau,Papunesia,PG,-4.0,141.25,Sepik,Upper Sepik,0,L
3,abb,shu,Arabic (Chadian),Africa,TD,13.8333333333,20.8333333333,Afro-Asiatic,Semitic,0,L
4,abd,abi,Abidji,Africa,CI,5.66666666667,-4.58333333333,Niger-Congo,Kwa,0,L
5,abe,apc,Arabic (Beirut),Eurasia,LB,33.9166666667,35.5,Afro-Asiatic,Semitic,0,L
6,abh,abv,Arabic (Bahrain),Eurasia,BH,26.0,50.5,Afro-Asiatic,Semitic,0,L
7,abi,axb,Abipón,South America,AR,-29.0,-61.0,Guaicuruan,South Guaicuruan,0,X
8,abk,abk,Abkhaz,Eurasia,GE,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,0,L
9,abm,akz,Alabama,North America,US,32.3333333333,-87.4166666667,Muskogean,Muskogean,0,L
10,abn,ard,Arabana,Australia,AU,-28.25,136.25,Pama-Nyungan,Central Pama-Nyungan,0,L
11,abo,arv,Arbore,Africa,ET,5.0,36.75,Afro-Asiatic,Lowland East Cushitic,0,L
12,abu,kgr,Abun,Papunesia,ID,-0.5,132.5,West Papuan,North-Central Bird's Head,0,L
13,abv,abz,Abui,Papunesia,ID,-8.25,124.666666667,Timor-Alor-Pantar,Greater Alor,0,L
14,abw,abe,Abenaki (Western),North America,CA US,44.0,-72.25,Algic,Algonquian,0,L
15,abz,abq,Abaza,Eurasia,RU,44.0,42.0,Northwest Caucasian,Northwest Caucasian,0,L
16,ace,ace,Acehnese,Eurasia,ID,5.5,95.5,Austronesian,Malayo-Sumbawan,0,L
17,acg,aca,Achagua,South America,CO,4.41666666667,-72.25,Arawakan,Inland Northern Arawakan,0,L
18,ach,guq,Aché,South America,PY,-25.25,-55.1666666667,Tupian,Tupi-Guaraní,0,L
19,aci,acr,Achí,North America,GT,15.1666666667,-90.5,Mayan,Mayan,0,L
20,acl,ach,Acholi,Africa,UG SS,3.0,32.6666666667,Eastern Sudanic,Nilotic,0,L
21,acm,acv,Achumawi,North America,US,41.5,-121.0,Hokan,Palaihnihan,0,L
22,acn,acn,Achang,Eurasia,CN MM,25.0,98.5,Sino-Tibetan,Burmese-Lolo,0,L
23,aco,kjq,Acoma,North America,US,34.9166666667,-107.583333333,Keresan,Keresan,0,L
24,acu,acu,Achuar,South America,PE,-2.66667,-76.0,Jivaroan,Jivaroan,0,L
25,ada,ads,Adamorobe Sign Language,Africa,GH,5.83333333333,-0.166666666667,other,Sign Languages,1,L
26,adg,adn,Adang,Papunesia,ID,-8.2,124.0,Timor-Alor-Pantar,Greater Alor,0,L
27,adi,adj,Adioukrou,Africa,CI,5.41666666667,-4.58333333333,Niger-Congo,Kwa,0,L
28,adk,ano,Andoke,South America,CO,-0.666666666667,-72.0,,,0,L
29,adn,adt,Adynyamathanha,Australia,AU,-30.5,139.5,Pama-Nyungan,Central Pama-Nyungan,0,L
30,adt,ady,Adyghe (Temirgoy),Eurasia,RU,45.2166666667,39.7,Northwest Caucasian,Northwest Caucasian,0,L
31,ady,ady,Adyghe (Abzakh),Eurasia,RU,45.2333333333,40.5833333333,Northwest Caucasian,Northwest Caucasian,0,L
32,adz,adz,Adzera,Papunesia,PG,-6.25,146.25,Austronesian,Oceanic,0,L
33,aea,ale,Aleut (Eastern),North America,US,54.75,-164.0,Eskimo-Aleut,Aleut,0,L
34,aeg,arz,Arabic (Egyptian),Africa,EG,30.0,31.0,Afro-Asiatic,Semitic,0,L
35,ael,ayl,Arabic (Eastern Libyan),Africa,LY,32.0,22.0,Afro-Asiatic,Semitic,0,L
36,afr,afr,Afrikaans,Africa,ZA,-31.0,22.0,Indo-European,Germanic,0,L
37,aga,agd,Agarabi,Papunesia,PG,-6.16666666667,146.0,Trans-New Guinea,Eastern Highlands,0,L
38,agb,agb,Leggbó,Africa,NG,6.0,8.0,Niger-Congo,Cross River,0,L
39,agc,agt,Agta (Central),Papunesia,PH,17.9666666667,121.833333333,Austronesian,Greater Central Philippine,0,L
40,agd,duo,Agta (Dupaningan),Papunesia,PH,18.0,122.083333333,Austronesian,Greater Central Philippine,0,L
