language,languageLabel,ISO,countryLabel,MainLanguageLabel
http://www.wikidata.org/entity/Q1860,inglés,eng,Canadá,francés
http://www.wikidata.org/entity/Q1860,inglés,eng,Canadá,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Irlanda,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Irlanda,irlandés
http://www.wikidata.org/entity/Q5146,portugués,por,España,español
http://www.wikidata.org/entity/Q1860,inglés,eng,Estados Unidos,inglés estadounidense
http://www.wikidata.org/entity/Q5146,portugués,por,Portugal,portugués
http://www.wikidata.org/entity/Q5146,portugués,por,Portugal,mirandés
http://www.wikidata.org/entity/Q1860,inglés,eng,Kenia,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Kenia,suajili
http://www.wikidata.org/entity/Q1860,inglés,eng,Etiopía,amhárico
http://www.wikidata.org/entity/Q1860,inglés,eng,Ghana,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Reino Unido,inglés
http://www.wikidata.org/entity/Q5146,portugués,por,Brasil,portugués
http://www.wikidata.org/entity/Q1860,inglés,eng,Malta,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Malta,maltés
http://www.wikidata.org/entity/Q1860,inglés,eng,Belice,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Barbados,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Sudáfrica,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Sudáfrica,zulú
http://www.wikidata.org/entity/Q1860,inglés,eng,Sudáfrica,xhosa
http://www.wikidata.org/entity/Q1860,inglés,eng,Sudáfrica,afrikáans
http://www.wikidata.org/entity/Q1860,inglés,eng,Sudáfrica,venda
http://www.wikidata.org/entity/Q1860,inglés,eng,Sudáfrica,Sesotho sa leboa
http://www.wikidata.org/entity/Q1860,inglés,eng,Sudáfrica,suazi
http://www.wikidata.org/entity/Q1860,inglés,eng,Sudáfrica,setsuana
http://www.wikidata.org/entity/Q1860,inglés,eng,Sudáfrica,tsonga
http://www.wikidata.org/entity/Q1860,inglés,eng,Sudáfrica,sesotho
http://www.wikidata.org/entity/Q1860,inglés,eng,Sudáfrica,ndebele del Sur
http://www.wikidata.org/entity/Q1860,inglés,eng,Singapur,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Singapur,tamil
http://www.wikidata.org/entity/Q1860,inglés,eng,Singapur,malayo
http://www.wikidata.org/entity/Q1860,inglés,eng,Singapur,mandarín estándar
http://www.wikidata.org/entity/Q1860,inglés,eng,Baréin,árabe
http://www.wikidata.org/entity/Q1860,inglés,eng,Australia,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Camboya,camboyano
http://www.wikidata.org/entity/Q5146,portugués,por,Timor Oriental,portugués
http://www.wikidata.org/entity/Q5146,portugués,por,Timor Oriental,Idioma tetun
http://www.wikidata.org/entity/Q1860,inglés,eng,Nueva Zelanda,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Nueva Zelanda,lengua de señas neozelandesa
http://www.wikidata.org/entity/Q1860,inglés,eng,Nueva Zelanda,maorí
http://www.wikidata.org/entity/Q1860,inglés,eng,India,hindi
http://www.wikidata.org/entity/Q1860,inglés,eng,India,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Tuvalu,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Tuvalu,tuvaluano
http://www.wikidata.org/entity/Q1860,inglés,eng,Tonga,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Tonga,tongano
http://www.wikidata.org/entity/Q1860,inglés,eng,Samoa,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Samoa,samoano
http://www.wikidata.org/entity/Q1860,inglés,eng,Islas Salomón,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Vanuatu,francés
http://www.wikidata.org/entity/Q1860,inglés,eng,Vanuatu,inglés
http://www.wikidata.org/entity/Q1860,inglés,eng,Vanuatu,Bislama
http://www.wikidata.org/entity/Q1860,inglés,eng,Papúa Nueva Guinea,inglés
