language,languageLabel,ISO,countryLabel,MainLanguageLabel
http://www.wikidata.org/entity/Q1860,English,eng,Canada,French
http://www.wikidata.org/entity/Q1860,English,eng,Canada,English
http://www.wikidata.org/entity/Q1860,English,eng,Ireland,English
http://www.wikidata.org/entity/Q1860,English,eng,Ireland,Irish
http://www.wikidata.org/entity/Q5146,Portuguese,por,Spain,Spanish
http://www.wikidata.org/entity/Q1860,English,eng,United States of America,American English
http://www.wikidata.org/entity/Q5146,Portuguese,por,Portugal,Portuguese
http://www.wikidata.org/entity/Q5146,Portuguese,por,Portugal,Mirandese
http://www.wikidata.org/entity/Q1860,English,eng,Kenya,English
http://www.wikidata.org/entity/Q1860,English,eng,Kenya,Swahili
http://www.wikidata.org/entity/Q1860,English,eng,Ethiopia,Amharic
http://www.wikidata.org/entity/Q1860,English,eng,Ghana,English
http://www.wikidata.org/entity/Q1860,English,eng,United Kingdom,English
http://www.wikidata.org/entity/Q5146,Portuguese,por,Brazil,Portuguese
http://www.wikidata.org/entity/Q1860,English,eng,Malta,English
http://www.wikidata.org/entity/Q1860,English,eng,Malta,Maltese
http://www.wikidata.org/entity/Q1860,English,eng,Belize,English
http://www.wikidata.org/entity/Q1860,English,eng,Barbados,English
http://www.wikidata.org/entity/Q1860,English,eng,South Africa,English
http://www.wikidata.org/entity/Q1860,English,eng,South Africa,Zulu
http://www.wikidata.org/entity/Q1860,English,eng,South Africa,Xhosa
http://www.wikidata.org/entity/Q1860,English,eng,South Africa,Afrikaans
http://www.wikidata.org/entity/Q1860,English,eng,South Africa,Venda
http://www.wikidata.org/entity/Q1860,English,eng,South Africa,Northern Sotho
http://www.wikidata.org/entity/Q1860,English,eng,South Africa,Swazi
http://www.wikidata.org/entity/Q1860,English,eng,South Africa,Tswana
http://www.wikidata.org/entity/Q1860,English,eng,South Africa,Tsonga
http://www.wikidata.org/entity/Q1860,English,eng,South Africa,Sesotho
http://www.wikidata.org/entity/Q1860,English,eng,South Africa,Southern Ndebele
http://www.wikidata.org/entity/Q1860,English,eng,Singapore,English
http://www.wikidata.org/entity/Q1860,English,eng,Singapore,Tamil
http://www.wikidata.org/entity/Q1860,English,eng,Singapore,Malay
http://www.wikidata.org/entity/Q1860,English,eng,Singapore,Standard Chinese
http://www.wikidata.org/entity/Q1860,English,eng,Bahrain,Arabic
http://www.wikidata.org/entity/Q1860,English,eng,Australia,English
http://www.wikidata.org/entity/Q1860,English,eng,Cambodia,Khmer
http://www.wikidata.org/entity/Q5146,Portuguese,por,East Timor,Portuguese
http://www.wikidata.org/entity/Q5146,Portuguese,por,East Timor,Tetum
http://www.wikidata.org/entity/Q1860,English,eng,New Zealand,English
http://www.wikidata.org/entity/Q1860,English,eng,New Zealand,New Zealand Sign Language
http://www.wikidata.org/entity/Q1860,English,eng,New Zealand,Māori
http://www.wikidata.org/entity/Q1860,English,eng,India,Hindi
http://www.wikidata.org/entity/Q1860,English,eng,India,English
http://www.wikidata.org/entity/Q1860,English,eng,Tuvalu,English
http://www.wikidata.org/entity/Q1860,English,eng,Tuvalu,Tuvaluan
http://www.wikidata.org/entity/Q1860,English,eng,Tonga,English
http://www.wikidata.org/entity/Q1860,English,eng,Tonga,Tongan
http://www.wikidata.org/entity/Q1860,English,eng,Samoa,English
http://www.wikidata.org/entity/Q1860,English,eng,Samoa,Samoan
http://www.wikidata.org/entity/Q1860,English,eng,Solomon Islands,English
http://www.wikidata.org/entity/Q1860,English,eng,Vanuatu,French
http://www.wikidata.org/entity/Q1860,English,eng,Vanuatu,English
http://www.wikidata.org/entity/Q1860,English,eng,Vanuatu,Bislama
http://www.wikidata.org/entity/Q1860,English,eng,Papua New Guinea,English
http://www.wikidata.org/entity/Q1860,English,eng,Papua New Guinea,Hiri Motu
http://www.wikidata.org/entity/Q1860,English,eng,Papua New Guinea,Tok Pisin
http://www.wikidata.org/entity/Q1860,English,eng,Papua New Guinea,Papua New Guinean Sign Language
http://www.wikidata.org/entity/Q1860,English,eng,Palau,English
http://www.wikidata.org/entity/Q1860,English,eng,Palau,Japanese
http://www.wikidata.org/entity/Q1860,English,eng,Palau,Palauan
http://www.wikidata.org/entity/Q1860,English,eng,Nauru,English
http://www.wikidata.org/entity/Q1860,English,eng,Nauru,Nauruan
http://www.wikidata.org/entity/Q1860,English,eng,Federated States of Micronesia,English
http://www.wikidata.org/entity/Q1860,English,eng,Marshall Islands,English
http://www.wikidata.org/entity/Q1860,English,eng,Marshall Islands,Marshallese
http://www.wikidata.org/entity/Q1860,English,eng,Kiribati,English
http://www.wikidata.org/entity/Q1860,English,eng,Kiribati,Gilbertese
http://www.wikidata.org/entity/Q1860,English,eng,Fiji,English
http://www.wikidata.org/entity/Q1860,English,eng,Fiji,Hindustani
http://www.wikidata.org/entity/Q1860,English,eng,Fiji,Fijian
http://www.wikidata.org/entity/Q1860,English,eng,Fiji,Fiji Hindi
http://www.wikidata.org/entity/Q1860,English,eng,Guyana,English
http://www.wikidata.org/entity/Q1860,English,eng,Trinidad and Tobago,English
http://www.wikidata.org/entity/Q1860,English,eng,Saint Vincent and the Grenadines,English
http://www.wikidata.org/entity/Q1860,English,eng,Saint Lucia,English
http://www.wikidata.org/entity/Q1860,English,eng,Saint Kitts and Nevis,English
http://www.wikidata.org/entity/Q1860,English,eng,Jamaica,English
http://www.wikidata.org/entity/Q1860,English,eng,Grenada,English
http://www.wikidata.org/entity/Q1860,English,eng,Grenada,Grenadian Creole English
http://www.wikidata.org/entity/Q1860,English,eng,The Bahamas,English
http://www.wikidata.org/entity/Q1860,English,eng,Antigua and Barbuda,English
http://www.wikidata.org/entity/Q1860,English,eng,Dominica,English
http://www.wikidata.org/entity/Q1860,English,eng,Jersey,English
http://www.wikidata.org/entity/Q1860,English,eng,Jersey,Jèrriais
http://www.wikidata.org/entity/Q1860,English,eng,Jersey,Jersey Legal French
http://www.wikidata.org/entity/Q1860,English,eng,Israel,Hebrew
http://www.wikidata.org/entity/Q1860,English,eng,Lebanon,Arabic
http://www.wikidata.org/entity/Q1860,English,eng,Maldives,Arabic
http://www.wikidata.org/entity/Q1860,English,eng,Maldives,Dhivehi
http://www.wikidata.org/entity/Q1860,English,eng,Malaysia,Malay
http://www.wikidata.org/entity/Q1860,English,eng,Oman,Arabic
http://www.wikidata.org/entity/Q1860,English,eng,Pakistan,Urdu
http://www.wikidata.org/entity/Q1860,English,eng,Pakistan,English
http://www.wikidata.org/entity/Q1860,English,eng,Pakistan,Arabic
http://www.wikidata.org/entity/Q1860,English,eng,Sri Lanka,Tamil
http://www.wikidata.org/entity/Q1860,English,eng,Sri Lanka,Sinhala
http://www.wikidata.org/entity/Q5146,Portuguese,por,Taiwan,Hakka
