ISO,index,Macroarea,Latitude,Longitude,Status_X_L,countryISO,num_speakers,country_population,Country_coord,cant_paises
aah,0,Papunesia,-3.45,142.95,0,PNG,2560.0,8935000.0,Point(147.0 -6.3),1
aiw,1,Africa,6.0,36.5833333333,0,ETH,285000.0,104957438.0,Point(40.0 9.0),1
aau,2,Papunesia,-4.0,141.25,0,PNG,7270.0,8935000.0,Point(147.0 -6.3),1
shu,3,Africa,13.8333333333,20.8333333333,0,"['NER', 'NGA', 'SDN', 'TCD', 'CAF', 'SSD', 'CMR']",1100000.0,"[21477348.0, 190886311.0, 40533330.0, 15477751.0, 4659080.0, 12575714.0, 24053727.0]","['Point(10.0 17.0)', 'Point(8.0 9.0)', 'Point(32.0 15.0)', 'Point(19.4 15.466667)', 'Point(20.9 6.7)', 'Point(30.0 7.0)', 'Point(12.0 7.0)']",7
shu,4,Africa,8.58333333333,12.4166666667,0,"['NER', 'NGA', 'SDN', 'TCD', 'CAF', 'SSD', 'CMR']",1100000.0,"[21477348.0, 190886311.0, 40533330.0, 15477751.0, 4659080.0, 12575714.0, 24053727.0]","['Point(10.0 17.0)', 'Point(8.0 9.0)', 'Point(32.0 15.0)', 'Point(19.4 15.466667)', 'Point(20.9 6.7)', 'Point(30.0 7.0)', 'Point(12.0 7.0)']",7
abi,5,Africa,5.66666666667,-4.58333333333,0,CIV,51000.0,24294750.0,Point(-6.0 8.0),1
apc,6,Eurasia,33.9166666667,35.5,0,"['TUR', 'LBN', 'SYR', 'PSE']",25708140.0,"[83614362.0, 6100075.0, 18499181.0, 5227193.0]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']",4
apc,7,Eurasia,33.75,36.0,0,"['TUR', 'LBN', 'SYR', 'PSE']",25708140.0,"[83614362.0, 6100075.0, 18499181.0, 5227193.0]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']",4
apc,8,Eurasia,34.0,36.0,0,"['TUR', 'LBN', 'SYR', 'PSE']",25708140.0,"[83614362.0, 6100075.0, 18499181.0, 5227193.0]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']",4
apc,9,Eurasia,34.0,38.0,0,"['TUR', 'LBN', 'SYR', 'PSE']",25708140.0,"[83614362.0, 6100075.0, 18499181.0, 5227193.0]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']",4
abv,10,Eurasia,26.0,50.5,0,BHR,889900.0,1492584.0,Point(50.551111 26.0675),1
axb,11,South America,-29.0,-61.0,1,ARG,0.0,44938712.0,Point(-64.0 -34.0),1
