,ISO,Name,Macroarea,Latitude_lang,Longitude_lang,Status_X_L,Status,num_speakers,cant_paises,Native_country,country_ISO,Latitude_country,Longitude_country,Coord_country_point,country_population,Family,Genus,WALS_ID,HDI,Nearest_languages
0,aah,Arapesh (Abu),Papunesia,-3.45,142.95,0.0,6b Threatened,2560.0,1,PG,PNG,[-6.3],[147.0],Point(147.0 -6.3),8935000.0,Torricelli,Kombio-Arapesh,aab,0.555,338
1,aiw,Aari,Africa,6.0,36.5833333333,0.0,4 Educational,285000.0,1,ET,ETH,[9.0],[40.0],Point(40.0 9.0),104957438.0,Afro-Asiatic,South Omotic,aar,0.463,154
2,aau,Abau,Papunesia,-4.0,141.25,0.0,5 Developing,7270.0,1,PG,PNG,[-6.3],[147.0],Point(147.0 -6.3),8935000.0,Sepik,Upper Sepik,aba,0.555,350
3,shu,Arabic (Chadian),Africa,13.8333333333,20.8333333333,0.0,3 Wider Communication,1100000.0,7,TD,"['NER', 'NGA', 'SDN', 'TCD', 'CAF', 'SSD', 'CMR']","[17.0, 9.0, 15.0, 15.466667, 6.7, 7.0, 7.0]","[10.0, 8.0, 32.0, 19.4, 20.9, 30.0, 12.0]","['Point(10.0 17.0)', 'Point(8.0 9.0)', 'Point(32.0 15.0)', 'Point(19.4 15.466667)', 'Point(20.9 6.7)', 'Point(30.0 7.0)', 'Point(12.0 7.0)']","[21477348.0, 190886311.0, 40533330.0, 15477751.0, 4659080.0, 12575714.0, 24053727.0]",Afro-Asiatic,Semitic,abb,"[0.354, 0.532, 0.502, 0.404, 0.367, 0.388, 0.556]",1334
4,shu,Arabic (Borno Nigerian),Africa,13.8333333333,20.8333333333,0.0,3 Wider Communication,1100000.0,7,NG,"['NER', 'NGA', 'SDN', 'TCD', 'CAF', 'SSD', 'CMR']","[17.0, 9.0, 15.0, 15.466667, 6.7, 7.0, 7.0]","[10.0, 8.0, 32.0, 19.4, 20.9, 30.0, 12.0]","['Point(10.0 17.0)', 'Point(8.0 9.0)', 'Point(32.0 15.0)', 'Point(19.4 15.466667)', 'Point(20.9 6.7)', 'Point(30.0 7.0)', 'Point(12.0 7.0)']","[21477348.0, 190886311.0, 40533330.0, 15477751.0, 4659080.0, 12575714.0, 24053727.0]",Afro-Asiatic,Semitic,arn,"[0.354, 0.532, 0.502, 0.404, 0.367, 0.388, 0.556]",1334
5,abi,Abidji,Africa,5.66666666667,-4.58333333333,0.0,5 Developing,51000.0,1,CI,CIV,[8.0],[-6.0],Point(-6.0 8.0),24294750.0,Niger-Congo,Kwa,abd,0.492,73
6,apc,Arabic (Beirut),Eurasia,33.9166666667,35.5,0.0,3 Wider Communication,25708140.0,4,LB,"['TUR', 'LBN', 'SYR', 'PSE']","[39.0, 33.833333, 35.216667, 32.0]","[36.0, 35.766667, 38.583333, 35.25]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']","[83614362.0, 6100075.0, 18499181.0, 5227193.0]",Afro-Asiatic,Semitic,abe,"[0.82, 0.757, 0.536, 0.686]",192
7,apc,Arabic (North Levantine Spoken),Eurasia,33.9166666667,35.5,0.0,3 Wider Communication,25708140.0,4,LB,"['TUR', 'LBN', 'SYR', 'PSE']","[39.0, 33.833333, 35.216667, 32.0]","[36.0, 35.766667, 38.583333, 35.25]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']","[83614362.0, 6100075.0, 18499181.0, 5227193.0]",Afro-Asiatic,Semitic,anl,"[0.82, 0.757, 0.536, 0.686]",192
8,apc,Arabic (Lebanese),Eurasia,33.9166666667,35.5,0.0,3 Wider Communication,25708140.0,4,LB,"['TUR', 'LBN', 'SYR', 'PSE']","[39.0, 33.833333, 35.216667, 32.0]","[36.0, 35.766667, 38.583333, 35.25]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']","[83614362.0, 6100075.0, 18499181.0, 5227193.0]",Afro-Asiatic,Semitic,arl,"[0.82, 0.757, 0.536, 0.686]",192
9,apc,Arabic (Syrian),Eurasia,33.9166666667,35.5,0.0,3 Wider Communication,25708140.0,4,SY,"['TUR', 'LBN', 'SYR', 'PSE']","[39.0, 33.833333, 35.216667, 32.0]","[36.0, 35.766667, 38.583333, 35.25]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']","[83614362.0, 6100075.0, 18499181.0, 5227193.0]",Afro-Asiatic,Semitic,asy,"[0.82, 0.757, 0.536, 0.686]",192
10,abv,Arabic (Bahrain),Eurasia,26.0,50.5,0.0,3 Wider Communication,889900.0,1,BH,BHR,[26.0675],[50.551111],Point(50.551111 26.0675),1492584.0,Afro-Asiatic,Semitic,abh,0.824,15
11,axb,Abipón,South America,-29.0,-61.0,1.0,,0.0,1,AR,ARG,[-34.0],[-64.0],Point(-64.0 -34.0),44938712.0,Guaicuruan,South Guaicuruan,abi,0.825,20
12,abk,Abkhaz,Eurasia,43.0833333333,41.0,0.0,2 Provincial,190110.0,6,GE,"['TUR', 'RUS', 'GEO', 'IRQ', 'JOR', 'SYR']","[39.0, 66.416666666, 42.016669444, 33.0, 31.2, 35.216667, 43.0, 43.15]","[36.0, 94.25, 43.733330555, 43.0, 36.5, 38.583333, 40.983330555, 41.0]","['Point(36.0 39.0)', 'Point(94.25 66.416666666)', 'Point(43.733330555 42.016669444)', 'Point(43.0 33.0)', 'Point(36.5 31.2)', 'Point(38.583333 35.216667)', 'Point(40.983330555 43.0)', 'Point(41.0 43.15)']","[83614362.0, 146804372.0, 3717100.0, 38274618.0, 10428241.0, 18499181.0, 242000.0]",Northwest Caucasian,Northwest Caucasian,abk,"[0.82, 0.816, 0.754, 0.685, 0.748, 0.536]",266
13,akz,Alabama,North America,32.3333333333,-87.4166666667,0.0,6b Threatened,100.0,1,US,USA,[39.828175],[-98.5795],Point(-98.5795 39.828175),331449281.0,Muskogean,Muskogean,abm,0.92,38
14,ard,Arabana,Australia,-28.25,136.25,0.0,8b Nearly Extinct,15.0,1,AU,AUS,[-28.0],[137.0],Point(137.0 -28.0),24511800.0,Pama-Nyungan,Central Pama-Nyungan,abn,0.939,76
