,ISO,WALS_ID,Name,Macroarea,Native_country,Latitude_lang,Longitude_lang,Family,Genus,Country_name,countryISO,Status,num_speakers,HDI,country_population,Country_coord,cant_paises,Country_lat,Country_long,nearest,Status_binario,official_in
0,aah,aab,Arapesh (Abu),Papunesia,PG,-3.45,142.95,Torricelli,Kombio-Arapesh,Papua New Guinea,PNG,6b Threatened,2560.0,0.555,8935000.0,POINT (147 -6.3),1,147.0,-6.3,324.0,0.0,
1,aiw,aar,Aari,Africa,ET,6.0,36.5833333333,Afro-Asiatic,South Omotic,Ethiopia,ETH,4 Educational,285000.0,0.463,104957438.0,POINT (40 9),1,40.0,9.0,124.0,1.0,
2,aau,aba,Abau,Papunesia,PG,-4.0,141.25,Sepik,Upper Sepik,Papua New Guinea,PNG,5 Developing,7270.0,0.555,8935000.0,POINT (147 -6.3),1,147.0,-6.3,342.0,1.0,
3,shu,abb,Arabic (Chadian),Africa,TD,13.8333333333,20.8333333333,Afro-Asiatic,Semitic,"['Niger', 'Nigeria', 'Sudan', 'Chad', 'Central African Republic', 'South Sudan', 'Cameroon']","['NER', 'NGA', 'SDN', 'TCD', 'CAF', 'SSD', 'CMR']",3 Wider Communication,1100000.0,"[0.354, 0.532, 0.502, 0.404, 0.367, 0.388, 0.556]","[21477348.0, 190886311.0, 40533330.0, 15477751.0, 4659080.0, 12575714.0, 24053727.0]","[<shapely.geometry.point.Point object at 0x7f5398eb5580>, <shapely.geometry.point.Point object at 0x7f5398eb55e0>, <shapely.geometry.point.Point object at 0x7f5398eb5640>, <shapely.geometry.point.Point object at 0x7f5398eb5070>, <shapely.geometry.point.Point object at 0x7f5398eb56d0>, <shapely.geometry.point.Point object at 0x7f5398eb50d0>, <shapely.geometry.point.Point object at 0x7f5398eb5730>]",7,"[10.0, 8.0, 32.0, 19.4, 20.9, 30.0, 12.0]","[17.0, 9.0, 15.0, 15.466667, 6.7, 7.0, 7.0]",982.0,1.0,
4,shu,arn,Arabic (Borno Nigerian),Africa,NG,8.58333333333,12.4166666667,Afro-Asiatic,Semitic,"['Niger', 'Nigeria', 'Sudan', 'Chad', 'Central African Republic', 'South Sudan', 'Cameroon']","['NER', 'NGA', 'SDN', 'TCD', 'CAF', 'SSD', 'CMR']",3 Wider Communication,1100000.0,"[0.354, 0.532, 0.502, 0.404, 0.367, 0.388, 0.556]","[21477348.0, 190886311.0, 40533330.0, 15477751.0, 4659080.0, 12575714.0, 24053727.0]","[<shapely.geometry.point.Point object at 0x7f5398eb5130>, <shapely.geometry.point.Point object at 0x7f5398eb5790>, <shapely.geometry.point.Point object at 0x7f5398eb5190>, <shapely.geometry.point.Point object at 0x7f5398eb57c0>, <shapely.geometry.point.Point object at 0x7f5398eb59a0>, <shapely.geometry.point.Point object at 0x7f5398eb5820>, <shapely.geometry.point.Point object at 0x7f5398eb5a00>]",7,"[10.0, 8.0, 32.0, 19.4, 20.9, 30.0, 12.0]","[17.0, 9.0, 15.0, 15.466667, 6.7, 7.0, 7.0]",982.0,1.0,
5,abi,abd,Abidji,Africa,CI,5.66666666667,-4.58333333333,Niger-Congo,Kwa,Ivory Coast,CIV,5 Developing,51000.0,0.492,24294750.0,POINT (-6 8),1,-6.0,8.0,68.0,1.0,
6,apc,abe,Arabic (Beirut),Eurasia,LB,33.9166666667,35.5,Afro-Asiatic,Semitic,"['Turkey', 'Lebanon', 'Syria', 'State of Palestine']","['TUR', 'LBN', 'SYR', 'PSE']",3 Wider Communication,25708140.0,"[0.82, 0.757, 0.536, 0.686]","[83614362.0, 6100075.0, 18499181.0, 5227193.0]","[<shapely.geometry.point.Point object at 0x7f5398eb5a60>, <shapely.geometry.point.Point object at 0x7f5398eb58e0>, <shapely.geometry.point.Point object at 0x7f5398eb57f0>, <shapely.geometry.point.Point object at 0x7f5398eb5b50>]",4,"[36.0, 35.766667, 38.583333, 35.25]","[39.0, 33.833333, 35.216667, 32.0]",147.0,1.0,
7,apc,anl,Arabic (North Levantine Spoken),Eurasia,LB,33.75,36.0,Afro-Asiatic,Semitic,"['Turkey', 'Lebanon', 'Syria', 'State of Palestine']","['TUR', 'LBN', 'SYR', 'PSE']",3 Wider Communication,25708140.0,"[0.82, 0.757, 0.536, 0.686]","[83614362.0, 6100075.0, 18499181.0, 5227193.0]","[<shapely.geometry.point.Point object at 0x7f5398eb5bb0>, <shapely.geometry.point.Point object at 0x7f5398eb5c10>, <shapely.geometry.point.Point object at 0x7f5398eb5c70>, <shapely.geometry.point.Point object at 0x7f5398eb5cd0>]",4,"[36.0, 35.766667, 38.583333, 35.25]","[39.0, 33.833333, 35.216667, 32.0]",147.0,1.0,
8,apc,arl,Arabic (Lebanese),Eurasia,LB,34.0,36.0,Afro-Asiatic,Semitic,"['Turkey', 'Lebanon', 'Syria', 'State of Palestine']","['TUR', 'LBN', 'SYR', 'PSE']",3 Wider Communication,25708140.0,"[0.82, 0.757, 0.536, 0.686]","[83614362.0, 6100075.0, 18499181.0, 5227193.0]","[<shapely.geometry.point.Point object at 0x7f5398eb5d30>, <shapely.geometry.point.Point object at 0x7f5398eb5d90>, <shapely.geometry.point.Point object at 0x7f5398eb5df0>, <shapely.geometry.point.Point object at 0x7f5398eb5e50>]",4,"[36.0, 35.766667, 38.583333, 35.25]","[39.0, 33.833333, 35.216667, 32.0]",147.0,1.0,
9,apc,asy,Arabic (Syrian),Eurasia,SY,34.0,38.0,Afro-Asiatic,Semitic,"['Turkey', 'Lebanon', 'Syria', 'State of Palestine']","['TUR', 'LBN', 'SYR', 'PSE']",3 Wider Communication,25708140.0,"[0.82, 0.757, 0.536, 0.686]","[83614362.0, 6100075.0, 18499181.0, 5227193.0]","[<shapely.geometry.point.Point object at 0x7f5398eb5eb0>, <shapely.geometry.point.Point object at 0x7f5398eb5f10>, <shapely.geometry.point.Point object at 0x7f5398eb5f70>, <shapely.geometry.point.Point object at 0x7f5398eb5fd0>]",4,"[36.0, 35.766667, 38.583333, 35.25]","[39.0, 33.833333, 35.216667, 32.0]",147.0,1.0,
