country,countryLabel,language,languageLabel,ISO,countryISO
http://www.wikidata.org/entity/Q114,Kenya,http://www.wikidata.org/entity/Q1860,English,eng,KEN
http://www.wikidata.org/entity/Q114,Kenya,http://www.wikidata.org/entity/Q7838,Swahili,swa,KEN
http://www.wikidata.org/entity/Q115,Ethiopia,http://www.wikidata.org/entity/Q28244,Amharic,amh,ETH
http://www.wikidata.org/entity/Q117,Ghana,http://www.wikidata.org/entity/Q1860,English,eng,GHA
http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q150,French,fra,FRA
http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q1860,English,eng,GBR
http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q5146,Portuguese,por,BRA
http://www.wikidata.org/entity/Q159,Russia,http://www.wikidata.org/entity/Q7737,Russian,rus,RUS
http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q150,French,fra,CAN
http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q1860,English,eng,CAN
http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q5287,Japanese,jpn,JPN
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,German,deu,DEU
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q7737,Russian,rus,BLR
http://www.wikidata.org/entity/Q184,Belarus,http://www.wikidata.org/entity/Q9091,Belarusian,bel,BLR
http://www.wikidata.org/entity/Q189,Iceland,http://www.wikidata.org/entity/Q294,Icelandic,isl,ISL
http://www.wikidata.org/entity/Q191,Estonia,http://www.wikidata.org/entity/Q9072,Estonian,ekk,EST
http://www.wikidata.org/entity/Q191,Estonia,http://www.wikidata.org/entity/Q9072,Estonian,est,EST
http://www.wikidata.org/entity/Q20,Norway,http://www.wikidata.org/entity/Q9043,Norwegian,nor,NOR
http://www.wikidata.org/entity/Q20,Norway,http://www.wikidata.org/entity/Q25164,Nynorsk,nno,NOR
http://www.wikidata.org/entity/Q20,Norway,http://www.wikidata.org/entity/Q25167,Bokmål,nob,NOR
http://www.wikidata.org/entity/Q211,Latvia,http://www.wikidata.org/entity/Q9078,Latvian,lav,LVA
http://www.wikidata.org/entity/Q211,Latvia,http://www.wikidata.org/entity/Q9078,Latvian,lvs,LVA
http://www.wikidata.org/entity/Q212,Ukraine,http://www.wikidata.org/entity/Q8798,Ukrainian,ukr,UKR
http://www.wikidata.org/entity/Q213,Czech Republic,http://www.wikidata.org/entity/Q9056,Czech,ces,CZE
http://www.wikidata.org/entity/Q214,Slovakia,http://www.wikidata.org/entity/Q9058,Slovak,slk,SVK
http://www.wikidata.org/entity/Q215,Slovenia,http://www.wikidata.org/entity/Q9063,Slovene,slv,SVN
http://www.wikidata.org/entity/Q218,Romania,http://www.wikidata.org/entity/Q7913,Romanian,ron,ROU
http://www.wikidata.org/entity/Q219,Bulgaria,http://www.wikidata.org/entity/Q7918,Bulgarian,bul,BGR
http://www.wikidata.org/entity/Q221,North Macedonia,http://www.wikidata.org/entity/Q8748,Albanian,sqi,MKD
http://www.wikidata.org/entity/Q221,North Macedonia,http://www.wikidata.org/entity/Q9296,Macedonian,mkd,MKD
http://www.wikidata.org/entity/Q222,Albania,http://www.wikidata.org/entity/Q8748,Albanian,sqi,ALB
http://www.wikidata.org/entity/Q223,Greenland,http://www.wikidata.org/entity/Q25355,Greenlandic,kal,GRL
http://www.wikidata.org/entity/Q224,Croatia,http://www.wikidata.org/entity/Q6654,Croatian,hrv,HRV
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q6654,Croatian,hrv,BIH
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q9299,Serbian,srp,BIH
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q9303,Bosnian,bos,BIH
http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q9292,Azerbaijani,aze,AZE
http://www.wikidata.org/entity/Q228,Andorra,http://www.wikidata.org/entity/Q7026,Catalan,cat,AND
http://www.wikidata.org/entity/Q229,Cyprus,http://www.wikidata.org/entity/Q256,Turkish,tur,CYP
http://www.wikidata.org/entity/Q229,Cyprus,http://www.wikidata.org/entity/Q9129,Greek,ell,CYP
http://www.wikidata.org/entity/Q229,Cyprus,http://www.wikidata.org/entity/Q36510,Modern Greek,ell,CYP
http://www.wikidata.org/entity/Q230,Georgia,http://www.wikidata.org/entity/Q5111,Abkhaz,abk,GEO
http://www.wikidata.org/entity/Q230,Georgia,http://www.wikidata.org/entity/Q8108,Georgian,kat,GEO
http://www.wikidata.org/entity/Q232,Kazakhstan,http://www.wikidata.org/entity/Q7737,Russian,rus,KAZ
