,ISO,Name,Status,fecha_ext
163,aqp,Atakapa,9 Dormant,1900
164,kuz,Atacameño,9 Dormant,1978.0
166,atw,Atsugewi,9 Dormant,1988.0
199,xir,Xiriana,9 Dormant,2000.0
240,bue,Beothuk,9 Dormant,1829.0
267,bzr,Biri,9 Dormant,1980.0
314,bjb,Banggarla,9 Dormant,1960.0
356,brn,Boruca,9 Dormant,
418,boi,Chumash (Barbareño),9 Reawakening,1965.0
429,cob,Chicomuceltec,9 Dormant,1980.0
442,cjh,Chehalis (Upper),9 Dormant,2001.0
457,inz,Chumash (Ineseño),9 Dormant,1965.0
460,chh,Chinook (Lower),9 Dormant,1930.0
461,wac,Chinook (Upper),9 Dormant,2012.0
462,wac,Kathlamet,9 Dormant,2012.0
463,clm,Clallam,9 Reawakening,2014.0
469,xcm,Comecrudo,9 Dormant,1900.0
488,csz,Coos (Hanis),9 Dormant,1972.0
489,cop,Coptic,9 Second language only,900.0
491,css,Rumsien,9 Dormant,1939.0
492,css,Mutsun,9 Dormant,1939.0
512,cor,Cornish,9 Reawakening,1777.0
525,ctm,Chitimacha,9 Dormant,1940.0
527,chc,Catawba,9 Reawakening,1959.0
533,cup,Cupeño,9 Dormant,1987.0
542,cyb,Cayuvava,9 Dormant,2010
584,dhr,Dhargari,9 Dormant,2000.0
585,dhu,Dhurga,9 Dormant,1970.0
586,tbh,Dharawal,9 Dormant,1970.0
655,esq,Esselen,9 Dormant,1900.0
666,eya,Eyak,9 Dormant,2008.0
734,gnr,Gureng Gureng,9 Dormant,1980.0
751,kld,Gamilaraay,9 Reawakening,
752,kld,Yuwaalaraay,9 Reawakening,
757,wlg,Gunbalang,9 Dormant,
759,gww,Gunin,9 Dormant,2010.0
893,mia,Illinois,9 Reawakening,1989.0
959,rgk,Johari,9 Dormant,1950.0
988,zku,Kaurna,9 Reawakening,1929.0
1061,kii,Kitsai,9 Dormant,1940.0
1089,kla,Klamath,9 Dormant,2003.0
1126,mjd,Konkow,9 Dormant,2000.0
1159,kzw,Kipea,9 Dormant,1950.0
1164,kqz,Korana,9 Dormant,1980.0
1166,krk,Kerek,9 Dormant,2005.0
1192,ktw,Kato,9 Dormant,1960.0
1285,liv,Liv,9 Dormant,2013.0
1320,lui,Luiseño,9 Dormant,2010.0
1329,lut,Lushootseed,9 Reawakening,2008.0
1343,myh,Makah,9 Dormant,2002.0
1387,dmd,Madimadi,9 Dormant,1978.0
1388,mhq,Mandan,9 Dormant,2016.0
1417,xpq,Mahican,9 Dormant,1908.0
1442,csi,Miwok (Bodega),9 Dormant,1978.0
1480,nmu,Maidu (Northeast),9 Dormant,2013.0
1494,glv,Manx,9 Reawakening,1974.0
1501,mhj,Moghol,9 Dormant,1970.0
1528,nju,Mirniny,9 Dormant,2000.0
1529,nju,Ngadjumaja,9 Dormant,2000.0
1538,zmu,Muruwari,9 Dormant,1980.0
1553,mvb,Mattole,9 Dormant,1950.0
1557,wam,Massachusett,9 Reawakening,1900.0
1573,lmw,Miwok (Lake),9 Dormant,1990.0
1574,nsq,Miwok (Northern Sierra),9 Dormant,1990.0
1576,pmw,Miwok (Plains),9 Dormant,1990.0
1593,mpc,Mangarrayi,9 Dormant,
1614,ncz,Natchez,9 Reawakening,1957.0
1657,nay,Ngarinyeri,9 Dormant,1960.0
1682,nys,Nyungar,9 Dormant,2010.0
1691,nrk,Ngarla,9 Dormant,2010.0
1706,nnt,Nanticoke,9 Dormant,1840.0
1727,nsz,Nisenan,9 Dormant,1980.0
1796,osa,Osage,9 Reawakening,2005.0
1800,iow,Oto,9 Dormant,1996.0
1812,pkn,Pakanha,9 Dormant,1990.0
1846,poo,Pomo (Central),9 Dormant,1990.0
1847,peb,Pomo (Eastern),9 Dormant,2000.0
1848,pej,Pomo (Northern),9 Dormant,2005.0
1867,pim,Powhatan,9 Dormant,1800.0
1907,qui,Quileute,9 Dormant,1999.0
1957,rmw,Romani (Welsh),9 Dormant,1968.0
1964,sln,Salinan,9 Dormant,1960.0
2020,sis,Siuslaw,9 Dormant,1970.0
2062,spo,Spokane,9 Dormant,2000.0
2063,slh,Salish (Southern Puget Sound),9 Dormant,2016.0
2074,ser,Serrano,9 Dormant,2002.0
2076,fos,Siraya,9 Dormant,1908.0
2129,tub,Tübatulabal,9 Dormant,2008.0
2143,teh,Tehuelche,9 Dormant,
2170,typ,Thaypan,9 Dormant,2016.0
2173,ssf,Thao,9 Dormant,2017.0
2233,tqw,Tonkawa,9 Dormant,1960.0
2281,tun,Tunica,9 Reawakening,1948.0
2288,twa,Twana,9 Dormant,1980.0
2293,woa,Tyeraity,9 Dormant,1990.0
2314,unm,Unami,9 Reawakening,2002.0
2324,ure,Uru,9 Dormant,2004.0
2338,vka,Kariera,9 Dormant,1991.0
2349,wao,Wappo,9 Dormant,1990.0
2361,xww,Wembawemba,9 Dormant,1960.0
2366,wrg,Warrongo,9 Dormant,1981.0
2367,wic,Wichita,9 Dormant,2016.0
2372,wgu,Wirangu,9 Dormant,2010.0
2373,wiy,Wiyot,9 Dormant,1962.0
2374,wkw,Wagawaga,9 Dormant,1965.0
2398,wgy,Warrgamay,9 Dormant,1980.0
2413,wyi,Woiwurrung,9 Dormant,1900.0
2415,wya,Wyandot,9 Reawakening,1960.0
2463,yuk,Yuki,9 Dormant,1990.0
2476,yia,Yingkarta,9 Dormant,2010.0
2492,gcd,Yukulta,9 Dormant,2010.0
2493,yur,Yurok,9 Dormant,2013.0
2494,ywr,Yawuru,9 Reawakening,2001.0
