country,countryLabel,point_cn,countryISO
http://www.wikidata.org/entity/Q114,Kenya,Point(38.0 0.1),KEN
http://www.wikidata.org/entity/Q115,Ethiopia,Point(40.0 9.0),ETH
http://www.wikidata.org/entity/Q117,Ghana,Point(-0.5 8.0),GHA
http://www.wikidata.org/entity/Q142,France,Point(2.0 47.0),FRA
http://www.wikidata.org/entity/Q145,United Kingdom,Point(-2.0 54.6),GBR
http://www.wikidata.org/entity/Q148,People's Republic of China,Point(103.451944444 35.844722222),CHN
http://www.wikidata.org/entity/Q155,Brazil,Point(-53.0 -14.0),BRA
http://www.wikidata.org/entity/Q159,Russia,Point(94.25 66.416666666),RUS
http://www.wikidata.org/entity/Q16,Canada,Point(-109.0 56.0),CAN
http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0),JPN
http://www.wikidata.org/entity/Q183,Germany,Point(10.0 51.0),DEU
http://www.wikidata.org/entity/Q184,Belarus,Point(28.046666666 53.528333333),BLR
http://www.wikidata.org/entity/Q189,Iceland,Point(-19.0 65.0),ISL
http://www.wikidata.org/entity/Q191,Estonia,Point(26.0 59.0),EST
http://www.wikidata.org/entity/Q20,Norway,Point(11.0 65.0),NOR
http://www.wikidata.org/entity/Q211,Latvia,Point(25.0 57.0),LVA
http://www.wikidata.org/entity/Q212,Ukraine,Point(32.0 49.0),UKR
http://www.wikidata.org/entity/Q213,Czech Republic,Point(16.0 50.0),CZE
http://www.wikidata.org/entity/Q214,Slovakia,Point(20.0 49.0),SVK
http://www.wikidata.org/entity/Q215,Slovenia,Point(15.0 46.0),SVN
http://www.wikidata.org/entity/Q217,Moldova,Point(28.516667 47.25),MDA
http://www.wikidata.org/entity/Q218,Romania,Point(25.0 46.0),ROU
http://www.wikidata.org/entity/Q219,Bulgaria,Point(25.5 42.75),BGR
http://www.wikidata.org/entity/Q221,North Macedonia,Point(21.716667 41.65),MKD
http://www.wikidata.org/entity/Q222,Albania,Point(20.0 41.0),ALB
http://www.wikidata.org/entity/Q223,Greenland,Point(-40.0 72.0),GRL
http://www.wikidata.org/entity/Q224,Croatia,Point(15.466667 45.25),HRV
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,Point(18.0 44.0),BIH
http://www.wikidata.org/entity/Q227,Azerbaijan,Point(47.7 40.3),AZE
http://www.wikidata.org/entity/Q228,Andorra,Point(1.555277777 42.558333333),AND
http://www.wikidata.org/entity/Q229,Cyprus,Point(33.0 35.0),CYP
http://www.wikidata.org/entity/Q230,Georgia,Point(43.733330555 42.016669444),GEO
http://www.wikidata.org/entity/Q232,Kazakhstan,Point(68.0 48.0),KAZ
http://www.wikidata.org/entity/Q233,Malta,Point(14.5 35.883333333),MLT
http://www.wikidata.org/entity/Q235,Monaco,Point(7.416666666 43.733333333),MCO
http://www.wikidata.org/entity/Q236,Montenegro,Point(19.216667 42.766667),MNE
http://www.wikidata.org/entity/Q237,Vatican City,Point(12.453 41.904),VAT
http://www.wikidata.org/entity/Q238,San Marino,Point(12.466666666 43.933333333),SMR
http://www.wikidata.org/entity/Q241,Cuba,Point(-79.5 22.0),CUB
http://www.wikidata.org/entity/Q242,Belize,Point(-88.7 17.066666666),BLZ
http://www.wikidata.org/entity/Q244,Barbados,Point(-59.5525 13.17),BRB
http://www.wikidata.org/entity/Q252,Indonesia,Point(118.0 -2.0),IDN
http://www.wikidata.org/entity/Q27,Ireland,Point(-8.0 53.0),IRL
http://www.wikidata.org/entity/Q28,Hungary,Point(19.0 47.0),HUN
http://www.wikidata.org/entity/Q29,Spain,Point(-3.5 40.2),ESP
http://www.wikidata.org/entity/Q30,United States of America,Point(-98.5795 39.828175),USA
http://www.wikidata.org/entity/Q31,Belgium,Point(4.668055555 50.641111111),BEL
http://www.wikidata.org/entity/Q32,Luxembourg,Point(6.13 49.77),LUX
http://www.wikidata.org/entity/Q33,Finland,Point(27.0 65.0),FIN
http://www.wikidata.org/entity/Q34,Sweden,Point(15.0 61.0),SWE
http://www.wikidata.org/entity/Q35,Denmark,Point(10.0 56.0),DNK
http://www.wikidata.org/entity/Q36,Poland,Point(19.0 52.0),POL
http://www.wikidata.org/entity/Q37,Lithuania,Point(24.0 55.2),LTU
