language,languageLabel,statusLabel,native,ISO,countryLabel,IDH,coordinates,Population
http://www.wikidata.org/entity/Q28064,tagish,9 durmiente,1,tgx,Canadá,0.926,Point(-109.0 56.0),37894799
http://www.wikidata.org/entity/Q28064,tagish,9 durmiente,2,tgx,Canadá,0.926,Point(-109.0 56.0),37894799
http://www.wikidata.org/entity/Q28272,Idioma hän,8b casi extinta,10,haa,Canadá,0.926,Point(-109.0 56.0),37894799
http://www.wikidata.org/entity/Q35173,Chinook Jargon,9 durmiente,1,chn,Canadá,0.926,Point(-109.0 56.0),37894799
http://www.wikidata.org/entity/Q27969,Ainu,8b casi extinta,10,ain,Japón,0.909,Point(136.0 35.0),126434565
http://www.wikidata.org/entity/Q28058,Hupa,8b casi extinta,8,hup,Estados Unidos,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q28272,Idioma hän,8b casi extinta,10,haa,Estados Unidos,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q35173,Chinook Jargon,9 durmiente,1,chn,Estados Unidos,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q56539,Arikara,8b casi extinta,10,ari,Estados Unidos,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q56628,Gros Ventre,9 durmiente,10,ats,Estados Unidos,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q3391031,Plains Miwok,9 durmiente,0,pmw,Estados Unidos,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q323325,ayapanecaca,8b casi extinta,4,zoq,México,0.756,Point(-102.0 23.0),124777324
http://www.wikidata.org/entity/Q3307204,chicomuselteco,9 durmiente,0,cob,México,0.756,Point(-102.0 23.0),124777324
http://www.wikidata.org/entity/Q3322101,Lengua de señas Urubu-Kaapor,10 extinta,0,uks,Brasil,0.754,Point(-53.0 -14.0),210147125
http://www.wikidata.org/entity/Q6432560,Koropó,10 extinta,0,xxr,Brasil,0.754,Point(-53.0 -14.0),210147125
http://www.wikidata.org/entity/Q7144304,Idioma patashó,9 durmiente,0,pth,Brasil,0.754,Point(-53.0 -14.0),210147125
http://www.wikidata.org/entity/Q27969,Ainu,8b casi extinta,10,ain,Rusia,0.816,Point(94.25 66.416666666),146804372
