language,languageLabel,statusLabel,native,ISO,countryLabel,walsCode,IDH,coordinates,Population
http://www.wikidata.org/entity/Q27785,Dena'ina,7 Shifting,75,tfn,Canada,tnj,0.926,Point(-109.0 56.0),37894799
http://www.wikidata.org/entity/Q33434,Kutenai,8a Moribund,100,kut,Canada,kut,0.926,Point(-109.0 56.0),37894799
http://www.wikidata.org/entity/Q1077450,Onondaga,8b Nearly Extinct,40,ono,Canada,onn,0.926,Point(-109.0 56.0),37894799
http://www.wikidata.org/entity/Q2380124,Plains Indian Sign Language,8b Nearly Extinct,75,psd,Canada,psl,0.926,Point(-109.0 56.0),37894799
http://www.wikidata.org/entity/Q5699507,Heiltsuk-Oowekyala,7 Shifting,90,hei,Canada,hei,0.926,Point(-109.0 56.0),37894799
http://www.wikidata.org/entity/Q13583746,Comox,8a Moribund,40,coo,Canada,cmx,0.926,Point(-109.0 56.0),37894799
http://www.wikidata.org/entity/Q21058,Ahtna,8a Moribund,80,aht,United States of America,aht,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q27782,Deg Xinag,8b Nearly Extinct,40,ing,United States of America,dgx,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q27785,Dena'ina,7 Shifting,75,tfn,United States of America,tnj,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q28565,Lower Tanana,8a Moribund,15,taa,United States of America,tnl,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q33434,Kutenai,8a Moribund,100,kut,United States of America,kut,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q34198,Washo,8b Nearly Extinct,20,was,United States of America,was,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q1077450,Onondaga,8b Nearly Extinct,40,ono,United States of America,onn,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q1288440,Karuk,8b Nearly Extinct,12,kyh,United States of America,krk,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q1815020,Alabama,6b Threatened,100,akz,United States of America,abm,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q2380124,Plains Indian Sign Language,8b Nearly Extinct,75,psd,United States of America,psl,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q3193689,Kashaya,8a Moribund,45,kju,United States of America,ksh,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q3339226,Nez Perce,8a Moribund,100,nez,United States of America,nez,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q33725,Karaim,8a Moribund,80,kdr,Poland,krm,0.843,Point(19.0 52.0),38382576
http://www.wikidata.org/entity/Q33725,Karaim,8a Moribund,80,kdr,Lithuania,krm,0.839,Point(24.0 55.2),2790842
http://www.wikidata.org/entity/Q33638,Manchu,8b Nearly Extinct,20,mnc,People's Republic of China,mnc,0.752,Point(103.451944444 35.844722222),1409517397
http://www.wikidata.org/entity/Q33638,Manchu,8b Nearly Extinct,20,mnc,People's Republic of China,mnc,0.752,Point(103.451944444 35.844722222),1443497378
http://www.wikidata.org/entity/Q13235,Udege,8a Moribund,103,ude,Russia,udh,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q27963,Naukan Yupik,8a Moribund,50,ynk,Russia,yna,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q28213,Alyutor,8b Nearly Extinct,40,alr,Russia,alu,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q32858,Votic,8b Nearly Extinct,62,vot,Russia,vot,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q33125,Chulym,8a Moribund,44,clw,Russia,cly,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q33559,Ingrian,8a Moribund,120,izh,Russia,izh,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q33624,Itelmen,8a Moribund,82,itl,Russia,ite,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q33676,Negidal,8a Moribund,74,neg,Russia,neg,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q33928,Orok,8a Moribund,47,oaa,Russia,ork,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q36848,Tofa,8a Moribund,93,kim,Russia,tof,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q56319,Tundra Yukaghir,8a Moribund,40,ykg,Russia,ytu,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q56545,Southern Yukaghir,8a Moribund,50,yux,Russia,yko,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q6913275,Morori,8a Moribund,50,mok,Indonesia,mri,0.694,Point(118.0 -2.0),270625568
http://www.wikidata.org/entity/Q8048030,Yamdena,5 Developing,30,jmd,Indonesia,ymd,0.694,Point(118.0 -2.0),270625568
http://www.wikidata.org/entity/Q56544,Kawésqar,8b Nearly Extinct,12,alc,Chile,qaw,0.832,Point(-71.0 -33.0),18054726
http://www.wikidata.org/entity/Q580923,Bunuba,8a Moribund,110,bck,Australia,bnb,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q2147917,Alawa,8b Nearly Extinct,12,alh,Australia,alw,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q2591193,Laragiya,8b Nearly Extinct,23,lrg,Australia,lar,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q2669219,Guniyandi,8a Moribund,100,gni,Australia,goo,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q5619801,Guragone,6b Threatened,60,gge,Australia,grg,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q6772792,Marranj,8b Nearly Extinct,15,zmr,Australia,mku,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q6773014,Marrithiyel,8b Nearly Extinct,15,mfr,Australia,mrh,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q6773014,Marrithiyel,8b Nearly Extinct,20,mfr,Australia,mrh,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q6960662,Nakkara,8a Moribund,58,nck,Australia,nkk,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q8050479,Yawuru,9 Reawakening,30,ywr,Australia,ywr,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q10510745,Gumatj,5 Developing,116,gnn,Australia,gmt,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q12626835,Ami,8a Moribund,30,amy,Australia,emm,0.939,Point(137.0 -28.0),24511800
http://www.wikidata.org/entity/Q2591221,Arabela,8a Moribund,50,arl,Peru,arb,0.75,Point(-76.0 -9.4),29381884
